External_Case_ID__c,Player_ID__c,Controller_Serial__c,Subject,Description,Status,Type,Origin
CASE-000001,PLAYER692,ZCT1W-N4391499,Controller not charging,Synthetic support record for PLAYER692: Controller not charging.,Closed,Technical,Email
CASE-000002,PLAYER970,ZCT2E-W9718383,Input lag noticed,Synthetic support record for PLAYER970: Input lag noticed.,Closed,Technical,Email
CASE-000003,PLAYER233,ZCT2E-A2923507,Intermittent disconnects,Synthetic support record for PLAYER233: Intermittent disconnects.,New,Technical,Email
CASE-000004,PLAYER514,ZCT2E-W4017812,Right stick drift concern,Synthetic support record for PLAYER514: Right stick drift concern.,Closed,Technical,Phone
CASE-000005,PLAYER912,ZCT1W-U7933281,Intermittent disconnects,Synthetic support record for PLAYER912: Intermittent disconnects.,Closed,Technical,Email
CASE-000006,PLAYER169,ZCT1W-K3709058,Input lag noticed,Synthetic support record for PLAYER169: Input lag noticed.,Closed,Technical,Web
CASE-000007,PLAYER921,ZCT2E-V4770193,Trigger feels loose,Synthetic support record for PLAYER921: Trigger feels loose.,Closed,Technical,Web
CASE-000008,PLAYER382,ZCT1W-V8924368,Intermittent disconnects,Synthetic support record for PLAYER382: Intermittent disconnects.,Closed,Technical,Web
CASE-000009,PLAYER894,ZCT2E-X7761231,Controller not charging,Synthetic support record for PLAYER894: Controller not charging.,New,Technical,Email
CASE-000010,PLAYER651,ZCT1W-R9267840,Controller not charging,Synthetic support record for PLAYER651: Controller not charging.,New,Technical,Email
CASE-000011,PLAYER030,ZCT1W-D6456436,Right stick drift concern,Synthetic support record for PLAYER030: Right stick drift concern.,Closed,Technical,Web
CASE-000012,PLAYER111,ZCT2E-L2396638,Trigger feels loose,Synthetic support record for PLAYER111: Trigger feels loose.,Closed,Technical,Phone
CASE-000013,PLAYER716,ZCT2E-E6759540,Intermittent disconnects,Synthetic support record for PLAYER716: Intermittent disconnects.,Closed,Technical,Phone
CASE-000014,PLAYER769,ZCT2E-E8889191,Right stick drift concern,Synthetic support record for PLAYER769: Right stick drift concern.,New,Technical,Email
CASE-000015,PLAYER133,ZCT2E-X7192680,Intermittent disconnects,Synthetic support record for PLAYER133: Intermittent disconnects.,New,Technical,Phone
CASE-000016,PLAYER458,ZCT2E-V3624846,Right stick drift concern,Synthetic support record for PLAYER458: Right stick drift concern.,Closed,Technical,Web
CASE-000017,PLAYER412,ZCT1W-U7311740,Controller not charging,Synthetic support record for PLAYER412: Controller not charging.,New,Technical,Phone
CASE-000018,PLAYER739,ZCT2E-G2951710,Controller not charging,Synthetic support record for PLAYER739: Controller not charging.,New,Technical,Web
CASE-000019,PLAYER030,ZCT1W-D6456436,Right stick drift concern,Synthetic support record for PLAYER030: Right stick drift concern.,New,Technical,Email
CASE-000020,PLAYER978,ZCT2E-N8270949,Right stick drift concern,Synthetic support record for PLAYER978: Right stick drift concern.,Closed,Technical,Phone
CASE-000021,PLAYER109,ZCT1W-J3230889,Trigger feels loose,Synthetic support record for PLAYER109: Trigger feels loose.,Closed,Technical,Phone
CASE-000022,PLAYER227,ZCT2E-Q9318172,Right stick drift concern,Synthetic support record for PLAYER227: Right stick drift concern.,Closed,Technical,Web
CASE-000023,PLAYER477,ZCT1W-B7199749,Trigger feels loose,Synthetic support record for PLAYER477: Trigger feels loose.,New,Technical,Web
CASE-000024,PLAYER053,ZCT1W-X3120109,Intermittent disconnects,Synthetic support record for PLAYER053: Intermittent disconnects.,Closed,Technical,Email
CASE-000025,PLAYER912,ZCT1W-U7933281,Input lag noticed,Synthetic support record for PLAYER912: Input lag noticed.,New,Technical,Web
CASE-000026,PLAYER213,ZCT2E-A3190232,Input lag noticed,Synthetic support record for PLAYER213: Input lag noticed.,New,Technical,Web
CASE-000027,PLAYER825,ZCT2E-E7200314,Controller not charging,Synthetic support record for PLAYER825: Controller not charging.,Closed,Technical,Phone
CASE-000028,PLAYER111,ZCT2E-L2396638,Intermittent disconnects,Synthetic support record for PLAYER111: Intermittent disconnects.,Closed,Technical,Email
CASE-000029,PLAYER747,ZCT1W-C9354503,Input lag noticed,Synthetic support record for PLAYER747: Input lag noticed.,Closed,Technical,Phone
CASE-000030,PLAYER020,ZCT1W-G4659722,Controller not charging,Synthetic support record for PLAYER020: Controller not charging.,Closed,Technical,Web
CASE-000031,PLAYER492,ZCT1W-P6820377,Controller not charging,Synthetic support record for PLAYER492: Controller not charging.,Closed,Technical,Phone
CASE-000032,PLAYER800,ZCT1W-V3046457,Input lag noticed,Synthetic support record for PLAYER800: Input lag noticed.,Closed,Technical,Phone
CASE-000033,PLAYER600,ZCT2E-W7994575,Trigger feels loose,Synthetic support record for PLAYER600: Trigger feels loose.,Closed,Technical,Email
CASE-000034,PLAYER373,ZCT1W-V4937559,Intermittent disconnects,Synthetic support record for PLAYER373: Intermittent disconnects.,Closed,Technical,Email
CASE-000035,PLAYER854,ZCT1W-B4357530,Intermittent disconnects,Synthetic support record for PLAYER854: Intermittent disconnects.,New,Technical,Phone
CASE-000036,PLAYER383,ZCT1W-L5078093,Trigger feels loose,Synthetic support record for PLAYER383: Trigger feels loose.,Closed,Technical,Email
CASE-000037,PLAYER130,ZCT2E-M2279932,Intermittent disconnects,Synthetic support record for PLAYER130: Intermittent disconnects.,Closed,Technical,Email
CASE-000038,PLAYER956,ZCT1W-F4676504,Right stick drift concern,Synthetic support record for PLAYER956: Right stick drift concern.,New,Technical,Email
CASE-000039,PLAYER048,ZCT1W-D7327627,Intermittent disconnects,Synthetic support record for PLAYER048: Intermittent disconnects.,Closed,Technical,Web
CASE-000040,PLAYER312,ZCT2E-A6079496,Right stick drift concern,Synthetic support record for PLAYER312: Right stick drift concern.,New,Technical,Phone
CASE-000041,PLAYER644,ZCT1W-R1574162,Controller not charging,Synthetic support record for PLAYER644: Controller not charging.,Closed,Technical,Web
CASE-000042,PLAYER692,ZCT1W-N4391499,Trigger feels loose,Synthetic support record for PLAYER692: Trigger feels loose.,Closed,Technical,Email
CASE-000043,PLAYER603,ZCT2E-A7779356,Intermittent disconnects,Synthetic support record for PLAYER603: Intermittent disconnects.,New,Technical,Phone
CASE-000044,PLAYER682,ZCT2E-H8277403,Right stick drift concern,Synthetic support record for PLAYER682: Right stick drift concern.,Closed,Technical,Email
CASE-000045,PLAYER842,ZCT2E-N1427236,Intermittent disconnects,Synthetic support record for PLAYER842: Intermittent disconnects.,Closed,Technical,Phone
CASE-000046,PLAYER126,ZCT1W-A1747019,Intermittent disconnects,Synthetic support record for PLAYER126: Intermittent disconnects.,New,Technical,Web
CASE-000047,PLAYER467,ZCT2E-E8335724,Input lag noticed,Synthetic support record for PLAYER467: Input lag noticed.,Closed,Technical,Phone
CASE-000048,PLAYER732,ZCT2E-E8514591,Controller not charging,Synthetic support record for PLAYER732: Controller not charging.,New,Technical,Phone
CASE-000049,PLAYER724,ZCT1W-Q1509048,Trigger feels loose,Synthetic support record for PLAYER724: Trigger feels loose.,Closed,Technical,Email
CASE-000050,PLAYER009,ZCT1W-K4672603,Trigger feels loose,Synthetic support record for PLAYER009: Trigger feels loose.,New,Technical,Web
CASE-000051,PLAYER429,ZCT1W-K3707912,Input lag noticed,Synthetic support record for PLAYER429: Input lag noticed.,Closed,Technical,Web
CASE-000052,PLAYER221,ZCT2E-W8564486,Trigger feels loose,Synthetic support record for PLAYER221: Trigger feels loose.,Closed,Technical,Phone
CASE-000053,PLAYER265,ZCT1W-W5176591,Input lag noticed,Synthetic support record for PLAYER265: Input lag noticed.,Closed,Technical,Web
CASE-000054,PLAYER442,ZCT1W-Q7204577,Controller not charging,Synthetic support record for PLAYER442: Controller not charging.,Closed,Technical,Web
CASE-000055,PLAYER244,ZCT2E-V2723751,Right stick drift concern,Synthetic support record for PLAYER244: Right stick drift concern.,Closed,Technical,Email
CASE-000056,PLAYER789,ZCT1W-K5414310,Right stick drift concern,Synthetic support record for PLAYER789: Right stick drift concern.,New,Technical,Email
CASE-000057,PLAYER446,ZCT1W-B6392918,Trigger feels loose,Synthetic support record for PLAYER446: Trigger feels loose.,Closed,Technical,Email
CASE-000058,PLAYER771,ZCT2E-S8244130,Intermittent disconnects,Synthetic support record for PLAYER771: Intermittent disconnects.,Closed,Technical,Phone
CASE-000059,PLAYER558,ZCT2E-G6414413,Intermittent disconnects,Synthetic support record for PLAYER558: Intermittent disconnects.,Closed,Technical,Web
CASE-000060,PLAYER563,ZCT1W-Q9066612,Trigger feels loose,Synthetic support record for PLAYER563: Trigger feels loose.,Closed,Technical,Phone
CASE-000061,PLAYER682,ZCT2E-H8277403,Controller not charging,Synthetic support record for PLAYER682: Controller not charging.,Closed,Technical,Phone
CASE-000062,PLAYER393,ZCT2E-P6945304,Right stick drift concern,Synthetic support record for PLAYER393: Right stick drift concern.,Closed,Technical,Web
CASE-000063,PLAYER430,ZCT1W-T5172556,Input lag noticed,Synthetic support record for PLAYER430: Input lag noticed.,Closed,Technical,Phone
CASE-000064,PLAYER667,ZCT2E-F2680038,Input lag noticed,Synthetic support record for PLAYER667: Input lag noticed.,Closed,Technical,Phone
CASE-000065,PLAYER098,ZCT2E-G9951610,Right stick drift concern,Synthetic support record for PLAYER098: Right stick drift concern.,Closed,Technical,Email
CASE-000066,PLAYER638,ZCT1W-E9701033,Intermittent disconnects,Synthetic support record for PLAYER638: Intermittent disconnects.,Closed,Technical,Email
CASE-000067,PLAYER361,ZCT1W-E1254735,Input lag noticed,Synthetic support record for PLAYER361: Input lag noticed.,Closed,Technical,Web
CASE-000068,PLAYER901,ZCT2E-F8578703,Trigger feels loose,Synthetic support record for PLAYER901: Trigger feels loose.,New,Technical,Phone
CASE-000069,PLAYER384,ZCT2E-L2936374,Trigger feels loose,Synthetic support record for PLAYER384: Trigger feels loose.,Closed,Technical,Web
CASE-000070,PLAYER155,ZCT1W-C4555258,Intermittent disconnects,Synthetic support record for PLAYER155: Intermittent disconnects.,Closed,Technical,Web
CASE-000071,PLAYER199,ZCT1W-V7900127,Right stick drift concern,Synthetic support record for PLAYER199: Right stick drift concern.,Closed,Technical,Web
CASE-000072,PLAYER276,ZCT2E-A6916088,Input lag noticed,Synthetic support record for PLAYER276: Input lag noticed.,Closed,Technical,Phone
CASE-000073,PLAYER384,ZCT2E-L2936374,Trigger feels loose,Synthetic support record for PLAYER384: Trigger feels loose.,New,Technical,Web
CASE-000074,PLAYER388,ZCT2E-X3317607,Trigger feels loose,Synthetic support record for PLAYER388: Trigger feels loose.,Closed,Technical,Email
CASE-000075,PLAYER380,ZCT1W-N2316088,Input lag noticed,Synthetic support record for PLAYER380: Input lag noticed.,Closed,Technical,Web
CASE-000076,PLAYER853,ZCT2E-R1394484,Intermittent disconnects,Synthetic support record for PLAYER853: Intermittent disconnects.,New,Technical,Phone
CASE-000077,PLAYER467,ZCT1W-V4588635,Right stick drift concern,Synthetic support record for PLAYER467: Right stick drift concern.,Closed,Technical,Web
CASE-000078,PLAYER550,ZCT2E-L7093060,Intermittent disconnects,Synthetic support record for PLAYER550: Intermittent disconnects.,Closed,Technical,Email
CASE-000079,PLAYER002,ZCT1W-4E5F6G7H,Trigger feels loose,Synthetic support record for PLAYER002: Trigger feels loose.,Closed,Technical,Web
CASE-000080,PLAYER070,ZCT2E-V9191751,Trigger feels loose,Synthetic support record for PLAYER070: Trigger feels loose.,Closed,Technical,Phone
CASE-000081,PLAYER581,ZCT1W-G7099530,Trigger feels loose,Synthetic support record for PLAYER581: Trigger feels loose.,Closed,Technical,Web
CASE-000082,PLAYER020,ZCT1W-G4659722,Input lag noticed,Synthetic support record for PLAYER020: Input lag noticed.,Closed,Technical,Web
CASE-000083,PLAYER369,ZCT2E-E4815456,Input lag noticed,Synthetic support record for PLAYER369: Input lag noticed.,Closed,Technical,Phone
CASE-000084,PLAYER760,ZCT2E-U7476923,Right stick drift concern,Synthetic support record for PLAYER760: Right stick drift concern.,Closed,Technical,Phone
CASE-000085,PLAYER309,ZCT2E-K5856148,Right stick drift concern,Synthetic support record for PLAYER309: Right stick drift concern.,Closed,Technical,Web
CASE-000086,PLAYER082,ZCT1W-D1354875,Trigger feels loose,Synthetic support record for PLAYER082: Trigger feels loose.,Closed,Technical,Email
CASE-000087,PLAYER734,ZCT2E-K1924685,Input lag noticed,Synthetic support record for PLAYER734: Input lag noticed.,Closed,Technical,Phone
CASE-000088,PLAYER808,ZCT2E-S5788268,Trigger feels loose,Synthetic support record for PLAYER808: Trigger feels loose.,New,Technical,Email
CASE-000089,PLAYER808,ZCT2E-M5039461,Controller not charging,Synthetic support record for PLAYER808: Controller not charging.,Closed,Technical,Email
CASE-000090,PLAYER467,ZCT2E-E8335724,Trigger feels loose,Synthetic support record for PLAYER467: Trigger feels loose.,Closed,Technical,Email
CASE-000091,PLAYER653,ZCT1W-J4097522,Input lag noticed,Synthetic support record for PLAYER653: Input lag noticed.,Closed,Technical,Email
CASE-000092,PLAYER666,ZCT1W-T7084360,Trigger feels loose,Synthetic support record for PLAYER666: Trigger feels loose.,Closed,Technical,Phone
CASE-000093,PLAYER623,ZCT2E-A7735482,Intermittent disconnects,Synthetic support record for PLAYER623: Intermittent disconnects.,New,Technical,Phone
CASE-000094,PLAYER535,ZCT1W-B7278644,Trigger feels loose,Synthetic support record for PLAYER535: Trigger feels loose.,Closed,Technical,Email
CASE-000095,PLAYER456,ZCT1W-A6231815,Controller not charging,Synthetic support record for PLAYER456: Controller not charging.,Closed,Technical,Email
CASE-000096,PLAYER246,ZCT1W-C4207127,Right stick drift concern,Synthetic support record for PLAYER246: Right stick drift concern.,Closed,Technical,Web
CASE-000097,PLAYER594,ZCT2E-D4056477,Intermittent disconnects,Synthetic support record for PLAYER594: Intermittent disconnects.,Closed,Technical,Email
CASE-000098,PLAYER707,ZCT2E-R8317957,Input lag noticed,Synthetic support record for PLAYER707: Input lag noticed.,Closed,Technical,Web
CASE-000099,PLAYER947,ZCT1W-H2683872,Controller not charging,Synthetic support record for PLAYER947: Controller not charging.,New,Technical,Web
CASE-000100,PLAYER267,ZCT2E-H7787380,Intermittent disconnects,Synthetic support record for PLAYER267: Intermittent disconnects.,Closed,Technical,Email
CASE-000101,PLAYER446,ZCT1W-B6392918,Intermittent disconnects,Synthetic support record for PLAYER446: Intermittent disconnects.,Closed,Technical,Email
CASE-000102,PLAYER693,ZCT2E-Q7064346,Right stick drift concern,Synthetic support record for PLAYER693: Right stick drift concern.,Closed,Technical,Phone
CASE-000103,PLAYER542,ZCT2E-R4533909,Intermittent disconnects,Synthetic support record for PLAYER542: Intermittent disconnects.,New,Technical,Email
CASE-000104,PLAYER658,ZCT2E-G7805792,Intermittent disconnects,Synthetic support record for PLAYER658: Intermittent disconnects.,Closed,Technical,Web
CASE-000105,PLAYER135,ZCT2E-C2898577,Right stick drift concern,Synthetic support record for PLAYER135: Right stick drift concern.,Closed,Technical,Web
CASE-000106,PLAYER051,ZCT2E-V2662054,Input lag noticed,Synthetic support record for PLAYER051: Input lag noticed.,New,Technical,Email
CASE-000107,PLAYER840,ZCT1W-U3156470,Right stick drift concern,Synthetic support record for PLAYER840: Right stick drift concern.,New,Technical,Phone
CASE-000108,PLAYER449,ZCT1W-D8142094,Input lag noticed,Synthetic support record for PLAYER449: Input lag noticed.,Closed,Technical,Web
CASE-000109,PLAYER650,ZCT2E-E6416968,Controller not charging,Synthetic support record for PLAYER650: Controller not charging.,New,Technical,Phone
CASE-000110,PLAYER655,ZCT2E-E6501987,Input lag noticed,Synthetic support record for PLAYER655: Input lag noticed.,Closed,Technical,Web
CASE-000111,PLAYER691,ZCT1W-W7812644,Intermittent disconnects,Synthetic support record for PLAYER691: Intermittent disconnects.,Closed,Technical,Email
CASE-000112,PLAYER500,ZCT2E-V6668656,Trigger feels loose,Synthetic support record for PLAYER500: Trigger feels loose.,Closed,Technical,Web
CASE-000113,PLAYER210,ZCT1W-W7576872,Right stick drift concern,Synthetic support record for PLAYER210: Right stick drift concern.,Closed,Technical,Web
CASE-000114,PLAYER935,ZCT1W-J3087576,Input lag noticed,Synthetic support record for PLAYER935: Input lag noticed.,Closed,Technical,Email
CASE-000115,PLAYER155,ZCT1W-C4555258,Intermittent disconnects,Synthetic support record for PLAYER155: Intermittent disconnects.,Closed,Technical,Phone
CASE-000116,PLAYER822,ZCT2E-G7985116,Input lag noticed,Synthetic support record for PLAYER822: Input lag noticed.,Closed,Technical,Email
CASE-000117,PLAYER920,ZCT2E-N1464145,Controller not charging,Synthetic support record for PLAYER920: Controller not charging.,Closed,Technical,Web
CASE-000118,PLAYER878,ZCT2E-G4939600,Controller not charging,Synthetic support record for PLAYER878: Controller not charging.,Closed,Technical,Web
CASE-000119,PLAYER890,ZCT1W-A9464291,Controller not charging,Synthetic support record for PLAYER890: Controller not charging.,Closed,Technical,Web
CASE-000120,PLAYER138,ZCT2E-T9996153,Controller not charging,Synthetic support record for PLAYER138: Controller not charging.,New,Technical,Web
CASE-000121,PLAYER657,ZCT1W-W1572338,Intermittent disconnects,Synthetic support record for PLAYER657: Intermittent disconnects.,Closed,Technical,Web
CASE-000122,PLAYER305,ZCT1W-S8445994,Controller not charging,Synthetic support record for PLAYER305: Controller not charging.,Closed,Technical,Web
CASE-000123,PLAYER555,ZCT1W-L5193310,Trigger feels loose,Synthetic support record for PLAYER555: Trigger feels loose.,New,Technical,Web
CASE-000124,PLAYER617,ZCT2E-J1388196,Input lag noticed,Synthetic support record for PLAYER617: Input lag noticed.,Closed,Technical,Phone
CASE-000125,PLAYER922,ZCT2E-W3638806,Controller not charging,Synthetic support record for PLAYER922: Controller not charging.,New,Technical,Web
CASE-000126,PLAYER993,ZCT2E-V5115393,Right stick drift concern,Synthetic support record for PLAYER993: Right stick drift concern.,Closed,Technical,Phone
CASE-000127,PLAYER845,ZCT1W-C3347324,Right stick drift concern,Synthetic support record for PLAYER845: Right stick drift concern.,Closed,Technical,Web
CASE-000128,PLAYER981,ZCT1W-Q7768131,Intermittent disconnects,Synthetic support record for PLAYER981: Intermittent disconnects.,New,Technical,Web
CASE-000129,PLAYER606,ZCT2E-L4346251,Trigger feels loose,Synthetic support record for PLAYER606: Trigger feels loose.,Closed,Technical,Phone
CASE-000130,PLAYER275,ZCT2E-M5317440,Intermittent disconnects,Synthetic support record for PLAYER275: Intermittent disconnects.,Closed,Technical,Phone
CASE-000131,PLAYER670,ZCT2E-Q6400942,Intermittent disconnects,Synthetic support record for PLAYER670: Intermittent disconnects.,Closed,Technical,Web
CASE-000132,PLAYER094,ZCT1W-B6396217,Intermittent disconnects,Synthetic support record for PLAYER094: Intermittent disconnects.,Closed,Technical,Email
CASE-000133,PLAYER460,ZCT1W-D4631285,Right stick drift concern,Synthetic support record for PLAYER460: Right stick drift concern.,Closed,Technical,Phone
CASE-000134,PLAYER309,ZCT2E-K5856148,Intermittent disconnects,Synthetic support record for PLAYER309: Intermittent disconnects.,Closed,Technical,Email
CASE-000135,PLAYER333,ZCT1W-D9367003,Controller not charging,Synthetic support record for PLAYER333: Controller not charging.,Closed,Technical,Phone
CASE-000136,PLAYER859,ZCT1W-Q9586664,Input lag noticed,Synthetic support record for PLAYER859: Input lag noticed.,Closed,Technical,Email
CASE-000137,PLAYER886,ZCT1W-N2371426,Input lag noticed,Synthetic support record for PLAYER886: Input lag noticed.,New,Technical,Web
CASE-000138,PLAYER268,ZCT2E-V5831479,Trigger feels loose,Synthetic support record for PLAYER268: Trigger feels loose.,Closed,Technical,Phone
CASE-000139,PLAYER389,ZCT2E-D2367443,Intermittent disconnects,Synthetic support record for PLAYER389: Intermittent disconnects.,New,Technical,Email
CASE-000140,PLAYER782,ZCT2E-U4050662,Right stick drift concern,Synthetic support record for PLAYER782: Right stick drift concern.,Closed,Technical,Email
CASE-000141,PLAYER546,ZCT1W-V3797337,Input lag noticed,Synthetic support record for PLAYER546: Input lag noticed.,Closed,Technical,Email
CASE-000142,PLAYER929,ZCT2E-G6620341,Input lag noticed,Synthetic support record for PLAYER929: Input lag noticed.,Closed,Technical,Email
CASE-000143,PLAYER069,ZCT2E-W9649141,Trigger feels loose,Synthetic support record for PLAYER069: Trigger feels loose.,Closed,Technical,Web
CASE-000144,PLAYER301,ZCT2E-B2420343,Trigger feels loose,Synthetic support record for PLAYER301: Trigger feels loose.,Closed,Technical,Phone
CASE-000145,PLAYER483,ZCT2E-C3895499,Right stick drift concern,Synthetic support record for PLAYER483: Right stick drift concern.,Closed,Technical,Phone
CASE-000146,PLAYER545,ZCT2E-K6290495,Controller not charging,Synthetic support record for PLAYER545: Controller not charging.,Closed,Technical,Web
CASE-000147,PLAYER421,ZCT1W-R9206984,Right stick drift concern,Synthetic support record for PLAYER421: Right stick drift concern.,Closed,Technical,Phone
CASE-000148,PLAYER047,ZCT2E-J3455003,Trigger feels loose,Synthetic support record for PLAYER047: Trigger feels loose.,Closed,Technical,Phone
CASE-000149,PLAYER185,ZCT1W-C8189612,Trigger feels loose,Synthetic support record for PLAYER185: Trigger feels loose.,Closed,Technical,Phone
