External_Case_ID__c,Player_ID__c,Controller_Serial__c,Subject,Description,Status,Type,Origin
CASE-000450,PLAYER934,ZCT2E-T6727732,Trigger feels loose,Synthetic support record for PLAYER934: Trigger feels loose.,Closed,Technical,Web
CASE-000451,PLAYER334,ZCT1W-K5217487,Input lag noticed,Synthetic support record for PLAYER334: Input lag noticed.,Closed,Technical,Email
CASE-000452,PLAYER405,ZCT1W-K8155525,Controller not charging,Synthetic support record for PLAYER405: Controller not charging.,Closed,Technical,Phone
CASE-000453,PLAYER498,ZCT1W-A8365343,Right stick drift concern,Synthetic support record for PLAYER498: Right stick drift concern.,New,Technical,Web
CASE-000454,PLAYER399,ZCT1W-B4534635,Input lag noticed,Synthetic support record for PLAYER399: Input lag noticed.,Closed,Technical,Email
CASE-000455,PLAYER780,ZCT2E-D1660659,Trigger feels loose,Synthetic support record for PLAYER780: Trigger feels loose.,New,Technical,Email
CASE-000456,PLAYER113,ZCT2E-A2785812,Input lag noticed,Synthetic support record for PLAYER113: Input lag noticed.,New,Technical,Phone
CASE-000457,PLAYER318,ZCT2E-E6437103,Input lag noticed,Synthetic support record for PLAYER318: Input lag noticed.,Closed,Technical,Email
CASE-000458,PLAYER443,ZCT1W-G9217672,Controller not charging,Synthetic support record for PLAYER443: Controller not charging.,Closed,Technical,Email
CASE-000459,PLAYER303,ZCT1W-X3596701,Controller not charging,Synthetic support record for PLAYER303: Controller not charging.,Closed,Technical,Phone
CASE-000460,PLAYER173,ZCT2E-M2400738,Trigger feels loose,Synthetic support record for PLAYER173: Trigger feels loose.,Closed,Technical,Phone
CASE-000461,PLAYER467,ZCT1W-V4588635,Controller not charging,Synthetic support record for PLAYER467: Controller not charging.,Closed,Technical,Web
CASE-000462,PLAYER175,ZCT1W-T1133260,Trigger feels loose,Synthetic support record for PLAYER175: Trigger feels loose.,Closed,Technical,Email
CASE-000463,PLAYER498,ZCT1W-F7006319,Trigger feels loose,Synthetic support record for PLAYER498: Trigger feels loose.,Closed,Technical,Web
CASE-000464,PLAYER971,ZCT2E-S7839706,Controller not charging,Synthetic support record for PLAYER971: Controller not charging.,New,Technical,Web
CASE-000465,PLAYER062,ZCT2E-T6789156,Input lag noticed,Synthetic support record for PLAYER062: Input lag noticed.,Closed,Technical,Web
CASE-000466,PLAYER091,ZCT1W-S8165093,Trigger feels loose,Synthetic support record for PLAYER091: Trigger feels loose.,New,Technical,Email
CASE-000467,PLAYER704,ZCT1W-T3160312,Controller not charging,Synthetic support record for PLAYER704: Controller not charging.,New,Technical,Email
CASE-000468,PLAYER270,ZCT2E-P6604498,Controller not charging,Synthetic support record for PLAYER270: Controller not charging.,Closed,Technical,Email
CASE-000469,PLAYER495,ZCT1W-R3345711,Intermittent disconnects,Synthetic support record for PLAYER495: Intermittent disconnects.,Closed,Technical,Phone
CASE-000470,PLAYER624,ZCT2E-A1143242,Controller not charging,Synthetic support record for PLAYER624: Controller not charging.,Closed,Technical,Web
CASE-000471,PLAYER791,ZCT1W-K7386601,Controller not charging,Synthetic support record for PLAYER791: Controller not charging.,Closed,Technical,Web
CASE-000472,PLAYER978,ZCT2E-N8270949,Controller not charging,Synthetic support record for PLAYER978: Controller not charging.,Closed,Technical,Phone
CASE-000473,PLAYER492,ZCT2E-W3860089,Intermittent disconnects,Synthetic support record for PLAYER492: Intermittent disconnects.,Closed,Technical,Email
CASE-000474,PLAYER359,ZCT1W-A6720097,Controller not charging,Synthetic support record for PLAYER359: Controller not charging.,Closed,Technical,Web
CASE-000475,PLAYER294,ZCT2E-T4076474,Right stick drift concern,Synthetic support record for PLAYER294: Right stick drift concern.,Closed,Technical,Web
CASE-000476,PLAYER059,ZCT2E-A8113264,Controller not charging,Synthetic support record for PLAYER059: Controller not charging.,Closed,Technical,Email
CASE-000477,PLAYER890,ZCT1W-A9464291,Trigger feels loose,Synthetic support record for PLAYER890: Trigger feels loose.,Closed,Technical,Phone
CASE-000478,PLAYER714,ZCT1W-A9304303,Intermittent disconnects,Synthetic support record for PLAYER714: Intermittent disconnects.,Closed,Technical,Web
CASE-000479,PLAYER888,ZCT1W-H6618685,Controller not charging,Synthetic support record for PLAYER888: Controller not charging.,Closed,Technical,Web
CASE-000480,PLAYER032,ZCT1W-X2968404,Controller not charging,Synthetic support record for PLAYER032: Controller not charging.,New,Technical,Email
CASE-000481,PLAYER264,ZCT2E-S9281506,Input lag noticed,Synthetic support record for PLAYER264: Input lag noticed.,Closed,Technical,Web
CASE-000482,PLAYER135,ZCT2E-C2898577,Trigger feels loose,Synthetic support record for PLAYER135: Trigger feels loose.,Closed,Technical,Phone
CASE-000483,PLAYER186,ZCT1W-M8031349,Right stick drift concern,Synthetic support record for PLAYER186: Right stick drift concern.,Closed,Technical,Web
CASE-000484,PLAYER728,ZCT1W-L5130922,Trigger feels loose,Synthetic support record for PLAYER728: Trigger feels loose.,Closed,Technical,Email
CASE-000485,PLAYER840,ZCT1W-U3156470,Right stick drift concern,Synthetic support record for PLAYER840: Right stick drift concern.,Closed,Technical,Web
CASE-000486,PLAYER234,ZCT2E-M3433361,Input lag noticed,Synthetic support record for PLAYER234: Input lag noticed.,Closed,Technical,Web
CASE-000487,PLAYER171,ZCT1W-U9191626,Trigger feels loose,Synthetic support record for PLAYER171: Trigger feels loose.,Closed,Technical,Web
CASE-000488,PLAYER992,ZCT2E-S3610506,Right stick drift concern,Synthetic support record for PLAYER992: Right stick drift concern.,Closed,Technical,Phone
CASE-000489,PLAYER179,ZCT2E-V9158676,Controller not charging,Synthetic support record for PLAYER179: Controller not charging.,Closed,Technical,Email
CASE-000490,PLAYER263,ZCT2E-G5932600,Trigger feels loose,Synthetic support record for PLAYER263: Trigger feels loose.,Closed,Technical,Email
CASE-000491,PLAYER979,ZCT2E-S3784101,Intermittent disconnects,Synthetic support record for PLAYER979: Intermittent disconnects.,New,Technical,Web
CASE-000492,PLAYER179,ZCT2E-V9158676,Input lag noticed,Synthetic support record for PLAYER179: Input lag noticed.,Closed,Technical,Email
CASE-000493,PLAYER289,ZCT2E-E6875686,Right stick drift concern,Synthetic support record for PLAYER289: Right stick drift concern.,Closed,Technical,Phone
CASE-000494,PLAYER946,ZCT1W-X6175674,Intermittent disconnects,Synthetic support record for PLAYER946: Intermittent disconnects.,Closed,Technical,Web
CASE-000495,PLAYER079,ZCT2E-B3689597,Trigger feels loose,Synthetic support record for PLAYER079: Trigger feels loose.,Closed,Technical,Email
CASE-000496,PLAYER676,ZCT1W-S6220408,Controller not charging,Synthetic support record for PLAYER676: Controller not charging.,Closed,Technical,Web
CASE-000497,PLAYER121,ZCT1W-V2673190,Controller not charging,Synthetic support record for PLAYER121: Controller not charging.,New,Technical,Email
CASE-000498,PLAYER478,ZCT1W-E2389566,Trigger feels loose,Synthetic support record for PLAYER478: Trigger feels loose.,Closed,Technical,Email
CASE-000499,PLAYER004,ZCT2E-2M3N4O5P,Trigger feels loose,Synthetic support record for PLAYER004: Trigger feels loose.,Closed,Technical,Email
CASE-000500,PLAYER022,ZCT2E-X3822312,Input lag noticed,Synthetic support record for PLAYER022: Input lag noticed.,Closed,Technical,Web
CASE-000501,PLAYER267,ZCT2E-H7787380,Right stick drift concern,Synthetic support record for PLAYER267: Right stick drift concern.,New,Technical,Phone
CASE-000502,PLAYER724,ZCT1W-Q1509048,Right stick drift concern,Synthetic support record for PLAYER724: Right stick drift concern.,New,Technical,Email
CASE-000503,PLAYER843,ZCT1W-L1579384,Intermittent disconnects,Synthetic support record for PLAYER843: Intermittent disconnects.,Closed,Technical,Email
CASE-000504,PLAYER677,ZCT2E-K3094878,Controller not charging,Synthetic support record for PLAYER677: Controller not charging.,Closed,Technical,Phone
CASE-000505,PLAYER042,ZCT1W-T4418574,Controller not charging,Synthetic support record for PLAYER042: Controller not charging.,New,Technical,Email
CASE-000506,PLAYER272,ZCT1W-R5152535,Trigger feels loose,Synthetic support record for PLAYER272: Trigger feels loose.,Closed,Technical,Email
CASE-000507,PLAYER259,ZCT2E-D2848835,Controller not charging,Synthetic support record for PLAYER259: Controller not charging.,Closed,Technical,Web
CASE-000508,PLAYER062,ZCT2E-T6789156,Controller not charging,Synthetic support record for PLAYER062: Controller not charging.,Closed,Technical,Email
CASE-000509,PLAYER553,ZCT2E-P7883587,Trigger feels loose,Synthetic support record for PLAYER553: Trigger feels loose.,Closed,Technical,Web
CASE-000510,PLAYER506,ZCT1W-F4962502,Controller not charging,Synthetic support record for PLAYER506: Controller not charging.,New,Technical,Phone
CASE-000511,PLAYER008,ZCT1W-D7632241,Controller not charging,Synthetic support record for PLAYER008: Controller not charging.,Closed,Technical,Web
CASE-000512,PLAYER959,ZCT2E-Q3500297,Controller not charging,Synthetic support record for PLAYER959: Controller not charging.,New,Technical,Web
CASE-000513,PLAYER676,ZCT1W-S6220408,Input lag noticed,Synthetic support record for PLAYER676: Input lag noticed.,Closed,Technical,Email
CASE-000514,PLAYER570,ZCT2E-A4708126,Right stick drift concern,Synthetic support record for PLAYER570: Right stick drift concern.,Closed,Technical,Phone
CASE-000515,PLAYER161,ZCT1W-A7410771,Input lag noticed,Synthetic support record for PLAYER161: Input lag noticed.,Closed,Technical,Phone
CASE-000516,PLAYER003,ZCT1W-8I9J0K1L,Controller not charging,Synthetic support record for PLAYER003: Controller not charging.,Closed,Technical,Phone
CASE-000517,PLAYER675,ZCT2E-E5621624,Intermittent disconnects,Synthetic support record for PLAYER675: Intermittent disconnects.,Closed,Technical,Web
CASE-000518,PLAYER395,ZCT1W-B2237362,Trigger feels loose,Synthetic support record for PLAYER395: Trigger feels loose.,Closed,Technical,Web
CASE-000519,PLAYER173,ZCT2E-M2400738,Right stick drift concern,Synthetic support record for PLAYER173: Right stick drift concern.,Closed,Technical,Email
CASE-000520,PLAYER678,ZCT1W-L5565127,Intermittent disconnects,Synthetic support record for PLAYER678: Intermittent disconnects.,New,Technical,Phone
CASE-000521,PLAYER437,ZCT2E-Q4400182,Right stick drift concern,Synthetic support record for PLAYER437: Right stick drift concern.,Closed,Technical,Email
CASE-000522,PLAYER997,ZCT2E-N8034544,Intermittent disconnects,Synthetic support record for PLAYER997: Intermittent disconnects.,New,Technical,Email
CASE-000523,PLAYER694,ZCT2E-T3984802,Intermittent disconnects,Synthetic support record for PLAYER694: Intermittent disconnects.,Closed,Technical,Email
CASE-000524,PLAYER976,ZCT2E-N5101891,Trigger feels loose,Synthetic support record for PLAYER976: Trigger feels loose.,Closed,Technical,Phone
CASE-000525,PLAYER257,ZCT1W-N4153336,Controller not charging,Synthetic support record for PLAYER257: Controller not charging.,Closed,Technical,Email
CASE-000526,PLAYER419,ZCT1W-X8128056,Input lag noticed,Synthetic support record for PLAYER419: Input lag noticed.,Closed,Technical,Phone
CASE-000527,PLAYER204,ZCT2E-X5437558,Intermittent disconnects,Synthetic support record for PLAYER204: Intermittent disconnects.,New,Technical,Email
CASE-000528,PLAYER948,ZCT2E-Q3523050,Right stick drift concern,Synthetic support record for PLAYER948: Right stick drift concern.,Closed,Technical,Phone
CASE-000529,PLAYER534,ZCT1W-P2953294,Intermittent disconnects,Synthetic support record for PLAYER534: Intermittent disconnects.,Closed,Technical,Phone
CASE-000530,PLAYER988,ZCT1W-F1628491,Trigger feels loose,Synthetic support record for PLAYER988: Trigger feels loose.,Closed,Technical,Email
CASE-000531,PLAYER352,ZCT1W-G3300684,Intermittent disconnects,Synthetic support record for PLAYER352: Intermittent disconnects.,Closed,Technical,Web
CASE-000532,PLAYER515,ZCT2E-X9064003,Input lag noticed,Synthetic support record for PLAYER515: Input lag noticed.,New,Technical,Phone
CASE-000533,PLAYER033,ZCT2E-L3064357,Intermittent disconnects,Synthetic support record for PLAYER033: Intermittent disconnects.,Closed,Technical,Web
CASE-000534,PLAYER584,ZCT2E-F5111878,Controller not charging,Synthetic support record for PLAYER584: Controller not charging.,Closed,Technical,Web
CASE-000535,PLAYER379,ZCT2E-G7355875,Trigger feels loose,Synthetic support record for PLAYER379: Trigger feels loose.,New,Technical,Email
CASE-000536,PLAYER680,ZCT2E-H9296866,Right stick drift concern,Synthetic support record for PLAYER680: Right stick drift concern.,Closed,Technical,Phone
CASE-000537,PLAYER440,ZCT1W-N1288778,Trigger feels loose,Synthetic support record for PLAYER440: Trigger feels loose.,Closed,Technical,Phone
CASE-000538,PLAYER050,ZCT2E-D9874478,Input lag noticed,Synthetic support record for PLAYER050: Input lag noticed.,New,Technical,Email
CASE-000539,PLAYER004,ZCT2E-2M3N4O5P,Input lag noticed,Synthetic support record for PLAYER004: Input lag noticed.,Closed,Technical,Phone
CASE-000540,PLAYER923,ZCT2E-C8260198,Trigger feels loose,Synthetic support record for PLAYER923: Trigger feels loose.,Closed,Technical,Web
CASE-000541,PLAYER302,ZCT1W-K9077690,Controller not charging,Synthetic support record for PLAYER302: Controller not charging.,Closed,Technical,Web
CASE-000542,PLAYER763,ZCT1W-M1351266,Right stick drift concern,Synthetic support record for PLAYER763: Right stick drift concern.,Closed,Technical,Phone
CASE-000543,PLAYER965,ZCT1W-F1811085,Right stick drift concern,Synthetic support record for PLAYER965: Right stick drift concern.,Closed,Technical,Phone
CASE-000544,PLAYER823,ZCT1W-L6211203,Input lag noticed,Synthetic support record for PLAYER823: Input lag noticed.,Closed,Technical,Phone
CASE-000545,PLAYER390,ZCT2E-W4323637,Input lag noticed,Synthetic support record for PLAYER390: Input lag noticed.,Closed,Technical,Phone
CASE-000546,PLAYER826,ZCT1W-Q7207712,Right stick drift concern,Synthetic support record for PLAYER826: Right stick drift concern.,Closed,Technical,Email
CASE-000547,PLAYER717,ZCT1W-P5228095,Input lag noticed,Synthetic support record for PLAYER717: Input lag noticed.,New,Technical,Email
CASE-000548,PLAYER349,ZCT2E-H8441397,Controller not charging,Synthetic support record for PLAYER349: Controller not charging.,Closed,Technical,Web
CASE-000549,PLAYER282,ZCT2E-J6189583,Trigger feels loose,Synthetic support record for PLAYER282: Trigger feels loose.,Closed,Technical,Web
CASE-000550,PLAYER548,ZCT1W-N3071885,Input lag noticed,Synthetic support record for PLAYER548: Input lag noticed.,Closed,Technical,Phone
CASE-000551,PLAYER214,ZCT1W-W4720435,Intermittent disconnects,Synthetic support record for PLAYER214: Intermittent disconnects.,New,Technical,Phone
CASE-000552,PLAYER104,ZCT2E-R9933361,Right stick drift concern,Synthetic support record for PLAYER104: Right stick drift concern.,Closed,Technical,Email
CASE-000553,PLAYER086,ZCT2E-D5421311,Trigger feels loose,Synthetic support record for PLAYER086: Trigger feels loose.,Closed,Technical,Phone
CASE-000554,PLAYER508,ZCT1W-R7611016,Controller not charging,Synthetic support record for PLAYER508: Controller not charging.,Closed,Technical,Email
CASE-000555,PLAYER633,ZCT2E-L7964689,Controller not charging,Synthetic support record for PLAYER633: Controller not charging.,Closed,Technical,Web
CASE-000556,PLAYER918,ZCT2E-W7068696,Intermittent disconnects,Synthetic support record for PLAYER918: Intermittent disconnects.,Closed,Technical,Phone
CASE-000557,PLAYER192,ZCT1W-G8049385,Right stick drift concern,Synthetic support record for PLAYER192: Right stick drift concern.,Closed,Technical,Phone
CASE-000558,PLAYER433,ZCT2E-D7339384,Input lag noticed,Synthetic support record for PLAYER433: Input lag noticed.,Closed,Technical,Email
CASE-000559,PLAYER832,ZCT2E-E7103256,Right stick drift concern,Synthetic support record for PLAYER832: Right stick drift concern.,New,Technical,Email
CASE-000560,PLAYER731,ZCT2E-S9924232,Input lag noticed,Synthetic support record for PLAYER731: Input lag noticed.,Closed,Technical,Web
CASE-000561,PLAYER196,ZCT2E-S6634235,Right stick drift concern,Synthetic support record for PLAYER196: Right stick drift concern.,Closed,Technical,Web
CASE-000562,PLAYER470,ZCT2E-P4586632,Trigger feels loose,Synthetic support record for PLAYER470: Trigger feels loose.,Closed,Technical,Email
CASE-000563,PLAYER955,ZCT2E-Q8115851,Right stick drift concern,Synthetic support record for PLAYER955: Right stick drift concern.,New,Technical,Phone
CASE-000564,PLAYER234,ZCT2E-A6517512,Controller not charging,Synthetic support record for PLAYER234: Controller not charging.,New,Technical,Email
CASE-000565,PLAYER959,ZCT2E-Q3500297,Intermittent disconnects,Synthetic support record for PLAYER959: Intermittent disconnects.,Closed,Technical,Web
CASE-000566,PLAYER473,ZCT2E-S1218011,Intermittent disconnects,Synthetic support record for PLAYER473: Intermittent disconnects.,New,Technical,Email
CASE-000567,PLAYER072,ZCT1W-C9876767,Right stick drift concern,Synthetic support record for PLAYER072: Right stick drift concern.,Closed,Technical,Web
CASE-000568,PLAYER495,ZCT1W-R3345711,Trigger feels loose,Synthetic support record for PLAYER495: Trigger feels loose.,Closed,Technical,Email
CASE-000569,PLAYER114,ZCT2E-W4458774,Intermittent disconnects,Synthetic support record for PLAYER114: Intermittent disconnects.,New,Technical,Phone
CASE-000570,PLAYER062,ZCT2E-T6789156,Right stick drift concern,Synthetic support record for PLAYER062: Right stick drift concern.,Closed,Technical,Web
CASE-000571,PLAYER526,ZCT2E-A5483468,Input lag noticed,Synthetic support record for PLAYER526: Input lag noticed.,Closed,Technical,Web
CASE-000572,PLAYER857,ZCT2E-F4382050,Trigger feels loose,Synthetic support record for PLAYER857: Trigger feels loose.,Closed,Technical,Web
CASE-000573,PLAYER179,ZCT2E-Q1642271,Right stick drift concern,Synthetic support record for PLAYER179: Right stick drift concern.,New,Technical,Phone
CASE-000574,PLAYER569,ZCT2E-V1599695,Input lag noticed,Synthetic support record for PLAYER569: Input lag noticed.,Closed,Technical,Phone
CASE-000575,PLAYER033,ZCT2E-L3064357,Input lag noticed,Synthetic support record for PLAYER033: Input lag noticed.,New,Technical,Web
CASE-000576,PLAYER474,ZCT2E-W9031838,Right stick drift concern,Synthetic support record for PLAYER474: Right stick drift concern.,Closed,Technical,Phone
CASE-000577,PLAYER314,ZCT2E-S7553588,Input lag noticed,Synthetic support record for PLAYER314: Input lag noticed.,Closed,Technical,Web
CASE-000578,PLAYER534,ZCT1W-P2953294,Right stick drift concern,Synthetic support record for PLAYER534: Right stick drift concern.,Closed,Technical,Phone
CASE-000579,PLAYER024,ZCT1W-D5040883,Input lag noticed,Synthetic support record for PLAYER024: Input lag noticed.,Closed,Technical,Web
CASE-000580,PLAYER239,ZCT1W-D8596473,Right stick drift concern,Synthetic support record for PLAYER239: Right stick drift concern.,Closed,Technical,Phone
CASE-000581,PLAYER730,ZCT2E-X2657259,Controller not charging,Synthetic support record for PLAYER730: Controller not charging.,Closed,Technical,Web
CASE-000582,PLAYER657,ZCT1W-W1572338,Input lag noticed,Synthetic support record for PLAYER657: Input lag noticed.,New,Technical,Email
CASE-000583,PLAYER420,ZCT2E-X2904822,Input lag noticed,Synthetic support record for PLAYER420: Input lag noticed.,Closed,Technical,Email
CASE-000584,PLAYER420,ZCT2E-X2904822,Trigger feels loose,Synthetic support record for PLAYER420: Trigger feels loose.,Closed,Technical,Web
CASE-000585,PLAYER848,ZCT2E-W7643612,Controller not charging,Synthetic support record for PLAYER848: Controller not charging.,New,Technical,Phone
CASE-000586,PLAYER389,ZCT2E-D2367443,Input lag noticed,Synthetic support record for PLAYER389: Input lag noticed.,Closed,Technical,Web
CASE-000587,PLAYER913,ZCT2E-B9559668,Controller not charging,Synthetic support record for PLAYER913: Controller not charging.,New,Technical,Email
CASE-000588,PLAYER580,ZCT2E-Q1204695,Trigger feels loose,Synthetic support record for PLAYER580: Trigger feels loose.,Closed,Technical,Email
CASE-000589,PLAYER835,ZCT1W-W4157389,Trigger feels loose,Synthetic support record for PLAYER835: Trigger feels loose.,New,Technical,Web
CASE-000590,PLAYER896,ZCT2E-B9178027,Intermittent disconnects,Synthetic support record for PLAYER896: Intermittent disconnects.,New,Technical,Email
CASE-000591,PLAYER246,ZCT1W-C4207127,Controller not charging,Synthetic support record for PLAYER246: Controller not charging.,Closed,Technical,Email
CASE-000592,PLAYER808,ZCT2E-M5039461,Controller not charging,Synthetic support record for PLAYER808: Controller not charging.,Closed,Technical,Phone
CASE-000593,PLAYER998,ZCT1W-F9072754,Controller not charging,Synthetic support record for PLAYER998: Controller not charging.,Closed,Technical,Phone
CASE-000594,PLAYER738,ZCT2E-C4415979,Right stick drift concern,Synthetic support record for PLAYER738: Right stick drift concern.,Closed,Technical,Email
CASE-000595,PLAYER754,ZCT2E-E5895685,Controller not charging,Synthetic support record for PLAYER754: Controller not charging.,Closed,Technical,Email
CASE-000596,PLAYER130,ZCT1W-R3844728,Input lag noticed,Synthetic support record for PLAYER130: Input lag noticed.,Closed,Technical,Phone
CASE-000597,PLAYER514,ZCT1W-K8304810,Trigger feels loose,Synthetic support record for PLAYER514: Trigger feels loose.,Closed,Technical,Web
CASE-000598,PLAYER717,ZCT1W-P5228095,Intermittent disconnects,Synthetic support record for PLAYER717: Intermittent disconnects.,Closed,Technical,Email
CASE-000599,PLAYER327,ZCT1W-C1406730,Input lag noticed,Synthetic support record for PLAYER327: Input lag noticed.,New,Technical,Email
CASE-000600,PLAYER036,ZCT2E-X9960751,Controller not charging,Synthetic support record for PLAYER036: Controller not charging.,Closed,Technical,Phone
